"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"ENSUMAG00000025210"," ARHGAP21","ENSUMAG00000025210",103672645,"protein_coding","Polar bear","KK498662.1",1.510085,"Rho GTPase activating protein 21 [Source:NCBI gene;Acc:103672645]",38.28,8,135480,4901,4901,NA,NA,19
"ENSUMAG00000019090"," ","ENSUMAG00000019090",103666300,"protein_coding","Polar bear","KK498613.1",1.510917,"Xg glycoprotein (Xg blood group) [Source:NCBI gene;Acc:103666300]",51.54,5,31106,927,1261,815,171,11
"ENSUMAG00000025193"," CCDC14","ENSUMAG00000025193",103678823,"protein_coding","Polar bear","KK498756.1",1.517517,"coiled-coil domain containing 14 [Source:NCBI gene;Acc:103678823]",37.42,1,40653,2625,2625,NA,NA,11
"ENSUMAG00000001680"," FAR2","ENSUMAG00000001680",103656127,"protein_coding","Polar bear","KK499622.1",1.518772,"fatty acyl-CoA reductase 2 [Source:NCBI gene;Acc:103656127]",40.86,5,51449,1173,2615,512,913,8
"ENSUMAG00000006808"," ","ENSUMAG00000006808",103681805,"protein_coding","Polar bear","KK499449.1",1.542597,"transmembrane serine protease 9 [Source:NCBI gene;Acc:103681805]",53.58,1,18121,1485,1485,NA,NA,10
"ENSUMAG00000009547"," CDKAL1","ENSUMAG00000009547",103678369,"protein_coding","Polar bear","KK498749.1",1.553268,"CDK5 regulatory subunit associated protein 1 like 1 [Source:NCBI gene;Acc:103678369]",39.44,1,625103,1815,2267,53,399,15
"ENSUMAG00000003420"," MAPK1","ENSUMAG00000003420",103669286,"protein_coding","Polar bear","KK498636.1",1.584669,"mitogen-activated protein kinase 1 [Source:NCBI gene;Acc:103669286]",43.31,2,38921,1064,1729,NA,490,8
"ENSUMAG00000003229"," ","ENSUMAG00000003229",103678960,"protein_coding","Polar bear","KK498762.1",1.587637,"UBX domain protein 7 [Source:NCBI gene;Acc:103678960]",37.3,1,32516,1341,1436,95,NA,10
"ENSUMAG00000024897"," MARK3","ENSUMAG00000024897",103676892,"protein_coding","Polar bear","KK498721.1",1.596177,"microtubule affinity regulating kinase 3 [Source:NCBI gene;Acc:103676892]",40.14,6,112723,1904,2805,67,1000,16
"ENSUMAG00000010812"," TBC1D8B","ENSUMAG00000010812",103668921,"protein_coding","Polar bear","KK498633.1",1.626487,"TBC1 domain family member 8B [Source:NCBI gene;Acc:103668921]",34.53,3,48743,3296,3296,NA,NA,20
"ENSUMAG00000006224"," KDM8","ENSUMAG00000006224",103657901,"protein_coding","Polar bear","KK498539.1",1.631056,"lysine demethylase 8 [Source:NCBI gene;Acc:103657901]",55.17,2,21589,1263,2008,285,346,9
"ENSUMAG00000006287"," MFGE8","ENSUMAG00000006287",103660253,"protein_coding","Polar bear","KK498567.1",1.651241,"milk fat globule EGF and factor V/VIII domain containing [Source:NCBI gene;Acc:103660253]",58.94,2,9891,1170,1170,NA,NA,8
"ENSUMAG00000018645"," SULF1","ENSUMAG00000018645",103681241,"protein_coding","Polar bear","KK499352.1",1.673166,"sulfatase 1 [Source:NCBI gene;Acc:103681241]",43.16,2,135626,2632,3736,76,875,22
"ENSUMAG00000016515"," RGSL1","ENSUMAG00000016515",103672514,"protein_coding","Polar bear","KK498660.1",1.687547,"regulator of G protein signaling like 1 [Source:NCBI gene;Acc:103672514]",38.54,2,75877,2224,2224,NA,NA,15
"ENSUMAG00000007545"," ANO2","ENSUMAG00000007545",103656209,"protein_coding","Polar bear","KK499633.1",1.728772,"anoctamin 2 [Source:NCBI gene;Acc:103656209]",46.9,4,317192,2380,2380,NA,NA,19
"ENSUMAG00000011776"," PLD5","ENSUMAG00000011776",103666652,"protein_coding","Polar bear","KK498516.1",1.761497,"phospholipase D family member 5 [Source:NCBI gene;Acc:103666652]",44.63,3,216213,1164,1486,482,NA,8
"ENSUMAG00000018669"," SLCO5A1","ENSUMAG00000018669",103681243,"protein_coding","Polar bear","KK499352.1",1.827849,"solute carrier organic anion transporter family member 5A1 [Source:NCBI gene;Acc:103681243]",40.01,3,120005,1517,1517,NA,NA,5
"ENSUMAG00000006800"," SPECC1","ENSUMAG00000006800",103658512,"protein_coding","Polar bear","KK498549.1",1.845297,"sperm antigen with calponin homology and coiled-coil domains 1 [Source:NCBI gene;Acc:103658512]",44.75,2,181440,2763,4836,24,2050,10
"ENSUMAG00000006694"," ","ENSUMAG00000006694",103667740,"protein_coding","Polar bear","KK498624.1",1.848104,"ankyrin 3 [Source:NCBI gene;Acc:103667740]",40,3,87668,2938,2938,NA,NA,19
"ENSUMAG00000003527"," ADGRA3","ENSUMAG00000003527",103658443,"protein_coding","Polar bear","KK498547.1",1.86356,"adhesion G protein-coupled receptor A3 [Source:NCBI gene;Acc:103658443]",40.21,1,69559,3363,3607,63,54,15
"ENSUMAG00000021400"," ICE1","ENSUMAG00000021400",103679255,"protein_coding","Polar bear","KK498768.1",1.866648,"interactor of little elongation complex ELL subunit 1 [Source:NCBI gene;Acc:103679255]",44.75,2,46128,3684,3684,NA,NA,12
"ENSUMAG00000006372"," FANCI","ENSUMAG00000006372",103660177,"protein_coding","Polar bear","KK498567.1",1.875479,"FA complementation group I [Source:NCBI gene;Acc:103660177]",40.82,5,74223,3770,3770,NA,NA,34
"ENSUMAG00000023475"," PIK3C2A","ENSUMAG00000023475",103679391,"protein_coding","Polar bear","KK498771.1",1.902217,"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:NCBI gene;Acc:103679391]",35.84,1,71481,5067,6444,67,1310,32
"ENSUMAG00000020569"," SGCZ","ENSUMAG00000020569",103681331,"protein_coding","Polar bear","KK499385.1",1.906569,"sarcoglycan zeta [Source:NCBI gene;Acc:103681331]",34.99,2,190956,879,879,NA,NA,8
"ENSUMAG00000014136"," CASK","ENSUMAG00000014136",103679216,"protein_coding","Polar bear","KK498766.1",1.970716,"calcium/calmodulin dependent serine protein kinase [Source:NCBI gene;Acc:103679216]",39.43,9,275529,2427,2427,NA,NA,24
"ENSUMAG00000021427"," ADAMTS16","ENSUMAG00000021427",103679229,"protein_coding","Polar bear","KK498768.1",1.993175,"ADAM metallopeptidase with thrombospondin type 1 motif 16 [Source:NCBI gene;Acc:103679229]",48.1,4,146060,3358,3358,NA,NA,22
"ENSUMAG00000018698"," ANKRD12","ENSUMAG00000018698",103662403,"protein_coding","Polar bear","KK498513.1",1.993996,"ankyrin repeat domain 12 [Source:NCBI gene;Acc:103662403]",35.4,2,88932,5826,6986,108,1052,12
"ENSUMAG00000014380"," RNF32","ENSUMAG00000014380",103660923,"protein_coding","Polar bear","KK498573.1",2.002136,"ring finger protein 32 [Source:NCBI gene;Acc:103660923]",41.82,1,38717,1110,1110,NA,NA,8
"ENSUMAG00000022418"," UBTD1","ENSUMAG00000022418",103673705,"protein_coding","Polar bear","KK498509.1",2.019292,"ubiquitin domain containing 1 [Source:NCBI gene;Acc:103673705]",52.45,1,18848,621,1981,651,709,3
"ENSUMAG00000014345"," CKAP5","ENSUMAG00000014345",103672321,"protein_coding","Polar bear","KK498659.1",2.025555,"cytoskeleton associated protein 5 [Source:NCBI gene;Acc:103672321]",39.82,1,71441,6102,6885,314,469,43
"ENSUMAG00000004506"," CCSER1","ENSUMAG00000004506",103677900,"protein_coding","Polar bear","KK498743.1",2.059578,"coiled-coil serine rich protein 1 [Source:NCBI gene;Acc:103677900]",34.75,1,724762,2232,2634,160,82,10
"ENSUMAG00000005162"," CYP11A1","ENSUMAG00000005162",103678997,"protein_coding","Polar bear","KK498764.1",2.064702,"cholesterol side-chain cleavage enzyme, mitochondrial [Source:NCBI gene;Acc:103678997]",55.26,1,11545,1557,1557,NA,NA,9
"ENSUMAG00000019924"," CACNA2D3","ENSUMAG00000019924",103674731,"protein_coding","Polar bear","KK498686.1",2.066345,"calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:NCBI gene;Acc:103674731]",44.72,5,834085,2771,2771,NA,NA,30
"ENSUMAG00000015060"," LATS2","ENSUMAG00000015060",103664285,"protein_coding","Polar bear","KK498601.1",2.075196,"large tumor suppressor kinase 2 [Source:NCBI gene;Acc:103664285]",44.29,1,57959,3093,3093,NA,NA,9
"ENSUMAG00000016775"," GPR34","ENSUMAG00000016775",103679207,"protein_coding","Polar bear","KK498766.1",2.098129,"G protein-coupled receptor 34 [Source:NCBI gene;Acc:103679207]",38.98,1,1134,1134,1134,NA,NA,1
"ENSUMAG00000014382"," F2","ENSUMAG00000014382",103672390,"protein_coding","Polar bear","KK498659.1",2.099503,"coagulation factor II, thrombin [Source:NCBI gene;Acc:103672390]",47.7,1,15130,1710,1710,NA,NA,12
"ENSUMAG00000009575"," ","ENSUMAG00000009575",103677424,"protein_coding","Polar bear","KK498738.1",2.100676,"regulator of G protein signaling 20 [Source:NCBI gene;Acc:103677424]",42.35,2,46572,654,1013,178,2,5
"ENSUMAG00000019774"," ","ENSUMAG00000019774",103658117,"protein_coding","Polar bear","KK498542.1",2.102167,"membrane associated ring-CH-type finger 1 [Source:NCBI gene;Acc:103658117]",39.26,2,82297,621,1620,346,652,4
"ENSUMAG00000018713"," NDUFV2","ENSUMAG00000018713",103662415,"protein_coding","Polar bear","KK498513.1",2.12092,"NADH:ubiquinone oxidoreductase core subunit V2 [Source:NCBI gene;Acc:103662415]",37.09,3,34644,707,1693,928,58,7
"ENSUMAG00000023479"," ","ENSUMAG00000023479",103679393,"protein_coding","Polar bear","KK498771.1",2.124663,"natural killer cell cytotoxicity receptor 3 ligand 1 [Source:NCBI gene;Acc:103679393]",42.82,1,15932,837,2780,967,976,4
"ENSUMAG00000005172"," MGAT5","ENSUMAG00000005172",103667662,"protein_coding","Polar bear","KK498623.1",2.125887,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase [Source:NCBI gene;Acc:103667662]",45.08,1,209811,2217,3592,303,1072,18
"ENSUMAG00000018689"," NCOA2","ENSUMAG00000018689",103681277,"protein_coding","Polar bear","KK499352.1",2.144263,"nuclear receptor coactivator 2 [Source:NCBI gene;Acc:103681277]",39.8,2,178835,4257,4719,231,NA,22
"ENSUMAG00000014415"," ATG13","ENSUMAG00000014415",103672325,"protein_coding","Polar bear","KK498659.1",2.149159,"autophagy related 13 [Source:NCBI gene;Acc:103672325]",41.65,4,50863,1443,4021,135,1964,17
"ENSUMAG00000014890"," EEFSEC","ENSUMAG00000014890",103669616,"protein_coding","Polar bear","KK498639.1",2.167754,"eukaryotic elongation factor, selenocysteine-tRNA specific [Source:NCBI gene;Acc:103669616]",50.64,1,162767,1455,2139,351,333,6
"ENSUMAG00000025503"," TRAPPC10","ENSUMAG00000025503",103680756,"protein_coding","Polar bear","KK499097.1",2.200865,"trafficking protein particle complex 10 [Source:NCBI gene;Acc:103680756]",48.92,3,64768,3738,3738,NA,NA,23
"ENSUMAG00000016985"," STK3","ENSUMAG00000016985",103661633,"protein_coding","Polar bear","KK498579.1",2.201718,"serine/threonine kinase 3 [Source:NCBI gene;Acc:103661633]",35.88,2,227073,1328,3114,954,832,9
"ENSUMAG00000014438"," AMBRA1","ENSUMAG00000014438",103672328,"protein_coding","Polar bear","KK498659.1",2.215668,"autophagy and beclin 1 regulator 1 [Source:NCBI gene;Acc:103672328]",42.59,4,164329,3578,5332,377,1000,19
"ENSUMAG00000013000"," BCL2L15","ENSUMAG00000013000",103669435,"protein_coding","Polar bear","KK498638.1",2.277271,"BCL2 like 15 [Source:NCBI gene;Acc:103669435]",43.78,2,7396,416,883,160,343,4
"ENSUMAG00000010248"," RAB6A","ENSUMAG00000010248",103678035,"protein_coding","Polar bear","KK498744.1",2.282581,"RAB6A, member RAS oncogene family [Source:NCBI gene;Acc:103678035]",37.33,5,74093,523,669,177,557,7
"ENSUMAG00000000163"," MTPN","ENSUMAG00000000163",103678271,"protein_coding","Polar bear","KK498746.1",2.296092,"myotrophin [Source:NCBI gene;Acc:103678271]",37.7,1,56592,357,3803,343,3103,4
"ENSUMAG00000020169"," ANXA10","ENSUMAG00000020169",103658160,"protein_coding","Polar bear","KK498543.1",2.31409,"annexin A10 [Source:NCBI gene;Acc:103658160]",36.16,4,54557,859,859,NA,NA,10
"ENSUMAG00000024881"," PCSK2","ENSUMAG00000024881",103680513,"protein_coding","Polar bear","KK499007.1",2.351692,"proprotein convertase subtilisin/kexin type 2 [Source:NCBI gene;Acc:103680513]",43.3,1,250483,1917,1917,NA,NA,12
"ENSUMAG00000000958"," DEFB116","ENSUMAG00000000958",NA,"protein_coding","Polar bear","KK498684.1",2.369299,"defensin beta 116 [Source:HGNC Symbol;Acc:HGNC:18097]",41.11,1,5167,306,306,NA,NA,2
"ENSUMAG00000006765"," STRN3","ENSUMAG00000006765",103680892,"protein_coding","Polar bear","KK499193.1",2.391733,"striatin 3 [Source:NCBI gene;Acc:103680892]",34.48,8,55391,2033,2161,275,237,17
"ENSUMAG00000003079"," ","ENSUMAG00000003079",103676677,"protein_coding","Polar bear","KK498719.1",2.423712,"ankyrin repeat domain 7 [Source:NCBI gene;Acc:103676677]",37.65,2,6829,789,789,NA,NA,6
"ENSUMAG00000005995"," TSNAX","ENSUMAG00000005995",103661879,"protein_coding","Polar bear","KK498582.1",2.470091,"translin associated factor X [Source:NCBI gene;Acc:103661879]",37.65,1,32024,843,843,NA,NA,6
"ENSUMAG00000000983"," DEFB127","ENSUMAG00000000983",103674483,"protein_coding","Polar bear","KK498684.1",2.506139,"defensin beta 127 [Source:NCBI gene;Acc:103674483]",41.78,1,2312,303,303,NA,NA,2
"ENSUMAG00000001333"," CSF3R","ENSUMAG00000001333",103666378,"protein_coding","Polar bear","KK498615.1",2.509462,"colony stimulating factor 3 receptor [Source:NCBI gene;Acc:103666378]",55.85,3,10803,2653,3191,62,746,16
"ENSUMAG00000002739"," IMPG2","ENSUMAG00000002739",103673263,"protein_coding","Polar bear","KK498672.1",2.509909,"interphotoreceptor matrix proteoglycan 2 [Source:NCBI gene;Acc:103673263]",37.53,1,69123,3693,3693,NA,NA,15
"ENSUMAG00000000991"," DEFB128","ENSUMAG00000000991",NA,"protein_coding","Polar bear","KK498684.1",2.524275,"defensin beta 128 [Source:HGNC Symbol;Acc:HGNC:18106]",41.89,1,1819,285,285,NA,NA,2
"ENSUMAG00000018706"," LACTB2","ENSUMAG00000018706",103681279,"protein_coding","Polar bear","KK499352.1",2.587782,"lactamase beta 2 [Source:NCBI gene;Acc:103681279]",37.99,1,24436,792,1177,74,311,7
"ENSUMAG00000015340"," PHF21A","ENSUMAG00000015340",103672333,"protein_coding","Polar bear","KK498659.1",2.603313,"PHD finger protein 21A [Source:NCBI gene;Acc:103672333]",38.64,3,184563,1994,2834,130,529,17
"ENSUMAG00000018708"," XKR9","ENSUMAG00000018708",103681246,"protein_coding","Polar bear","KK499352.1",2.614851,"XK related 9 [Source:NCBI gene;Acc:103681246]",35.61,2,51346,732,1372,210,220,4
"ENSUMAG00000015110"," FGF9","ENSUMAG00000015110",103664292,"protein_coding","Polar bear","KK498601.1",2.627352,"fibroblast growth factor 9 [Source:NCBI gene;Acc:103664292]",43.1,1,31810,627,2866,768,1471,3
"ENSUMAG00000023756"," ARHGAP35","ENSUMAG00000023756",103657074,"protein_coding","Polar bear","KK498533.1",2.639945,"Rho GTPase activating protein 35 [Source:NCBI gene;Acc:103657074]",47.78,1,76099,4503,8519,NA,4016,6
"ENSUMAG00000015188"," RNF150","ENSUMAG00000015188",103657974,"protein_coding","Polar bear","KK498541.1",2.658843,"ring finger protein 150 [Source:NCBI gene;Acc:103657974]",41.21,4,254918,1075,1075,NA,NA,8
"ENSUMAG00000017672"," DTNBP1","ENSUMAG00000017672",103664892,"protein_coding","Polar bear","KK498605.1",2.660463,"dystrobrevin binding protein 1 [Source:NCBI gene;Acc:103664892]",44.16,1,103393,918,918,NA,NA,8
"ENSUMAG00000018739"," PTPRM","ENSUMAG00000018739",103664650,"protein_coding","Polar bear","KK498513.1",2.666121,"protein tyrosine phosphatase receptor type M [Source:NCBI gene;Acc:103664650]",41.07,1,559319,4173,5122,171,778,30
"ENSUMAG00000017172"," ALOX15B","ENSUMAG00000017172",103660486,"protein_coding","Polar bear","KK498569.1",2.688214,"arachidonate 15-lipoxygenase type B [Source:NCBI gene;Acc:103660486]",60.27,1,7664,1575,1575,NA,NA,12
"ENSUMAG00000018396"," ZFP91","ENSUMAG00000018396",103666270,"protein_coding","Polar bear","KK498612.1",2.703716,"ZFP91 zinc finger protein [Source:NCBI gene;Acc:103666270]",37.03,1,42945,1347,1347,NA,NA,10
"ENSUMAG00000022551"," PYROXD2","ENSUMAG00000022551",103658859,"protein_coding","Polar bear","KK498509.1",2.705119,"pyridine nucleotide-disulphide oxidoreductase domain 2 [Source:NCBI gene;Acc:103658859]",54.5,3,26545,1676,1676,NA,NA,16
"ENSUMAG00000000608"," FAM114A1","ENSUMAG00000000608",103672670,"protein_coding","Polar bear","KK498665.1",2.710964,"family with sequence similarity 114 member A1 [Source:NCBI gene;Acc:103672670]",43.31,2,56537,1551,1848,296,2,12
"ENSUMAG00000016643"," SPON1","ENSUMAG00000016643",103682382,"protein_coding","Polar bear","KK499566.1",2.755465,"spondin 1 [Source:NCBI gene;Acc:103682382]",44.31,10,236223,2307,2307,NA,NA,16
"ENSUMAG00000022623"," HPSE2","ENSUMAG00000022623",103675767,"protein_coding","Polar bear","KK498509.1",2.769861,"heparanase 2 (inactive) [Source:NCBI gene;Acc:103675767]",40.23,1,248167,1212,1212,NA,NA,9
"ENSUMAG00000007459"," ","ENSUMAG00000007459",103681831,"protein_coding","Polar bear","KK499449.1",2.818424,"death associated protein kinase 3 [Source:NCBI gene;Acc:103681831]",59.08,1,11969,1386,1386,NA,NA,9
"ENSUMAG00000012571"," RSU1","ENSUMAG00000012571",103664199,"protein_coding","Polar bear","KK498599.1",2.904066,"Ras suppressor protein 1 [Source:NCBI gene;Acc:103664199]",42.8,1,184837,834,1021,94,NA,9
"ENSUMAG00000018717"," EYA1","ENSUMAG00000018717",103681252,"protein_coding","Polar bear","KK499352.1",3.054217,"EYA transcriptional coactivator and phosphatase 1 [Source:NCBI gene;Acc:103681252]",39.36,1,113255,1548,1548,NA,NA,13
"ENSUMAG00000004929"," TUT7","ENSUMAG00000004929",103667639,"protein_coding","Polar bear","KK498622.1",3.067312,"terminal uridylyl transferase 7 [Source:NCBI gene;Acc:103667639]",39.58,1,72307,4500,4500,NA,NA,26
"ENSUMAG00000014927"," MRPS28","ENSUMAG00000014927",103661366,"protein_coding","Polar bear","KK498578.1",3.071705,"mitochondrial ribosomal protein S28 [Source:NCBI gene;Acc:103661366]",37.13,1,107186,564,687,21,102,3
"ENSUMAG00000010208"," HTRA3","ENSUMAG00000010208",103677099,"protein_coding","Polar bear","KK498529.1",3.119092,"HtrA serine peptidase 3 [Source:NCBI gene;Acc:103677099]",57.87,1,19313,1167,1167,NA,NA,7
"ENSUMAG00000010402"," PPARD","ENSUMAG00000010402",103665463,"protein_coding","Polar bear","KK498610.1",3.119618,"peroxisome proliferator activated receptor delta [Source:NCBI gene;Acc:103665463]",56.9,2,5548,1185,1185,NA,NA,5
"ENSUMAG00000017076"," XPR1","ENSUMAG00000017076",103672518,"protein_coding","Polar bear","KK498660.1",3.177773,"xenotropic and polytropic retrovirus receptor 1 [Source:NCBI gene;Acc:103672518]",35.39,4,94857,1948,1948,NA,NA,14
"ENSUMAG00000014830"," DPP6","ENSUMAG00000014830",103660982,"protein_coding","Polar bear","KK498573.1",3.219038,"dipeptidyl peptidase like 6 [Source:NCBI gene;Acc:103660982]",48.05,8,347090,2240,2240,NA,NA,23
"ENSUMAG00000000348"," TMEM132B","ENSUMAG00000000348",NA,"protein_coding","Polar bear","KK498575.1",3.225835,"transmembrane protein 132B [Source:HGNC Symbol;Acc:HGNC:29397]",47.55,1,210721,3282,3282,NA,NA,9
"ENSUMAG00000011882"," SCLY","ENSUMAG00000011882",103662621,"protein_coding","Polar bear","KK498593.1",3.241583,"selenocysteine lyase [Source:NCBI gene;Acc:103662621]",47.74,1,34241,1239,2393,195,959,11
"ENSUMAG00000010333"," ABLIM2","ENSUMAG00000010333",103676741,"protein_coding","Polar bear","KK498529.1",3.289428,"actin binding LIM protein family member 2 [Source:NCBI gene;Acc:103676741]",58.7,9,101506,1760,1760,NA,NA,18
"ENSUMAG00000008120"," DPP9","ENSUMAG00000008120",103681846,"protein_coding","Polar bear","KK499449.1",3.326655,"dipeptidyl peptidase 9 [Source:NCBI gene;Acc:103681846]",57.63,7,34348,2418,2418,NA,NA,19
"ENSUMAG00000006806"," PRKDC","ENSUMAG00000006806",103677407,"protein_coding","Polar bear","KK498737.1",3.375526,"protein kinase, DNA-activated, catalytic subunit [Source:NCBI gene;Acc:103677407]",38.03,7,222686,12202,12202,NA,NA,84
"ENSUMAG00000003997"," HMGCLL1","ENSUMAG00000003997",103663985,"protein_coding","Polar bear","KK498598.1",3.381038,"3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1 [Source:NCBI gene;Acc:103663985]",37.21,2,187748,1360,2668,63,1245,8
"ENSUMAG00000010174"," PIBF1","ENSUMAG00000010174",103659155,"protein_coding","Polar bear","KK498556.1",3.40295,"progesterone immunomodulatory binding factor 1 [Source:NCBI gene;Acc:103659155]",35.86,3,197345,2216,2809,160,216,18
"ENSUMAG00000007835"," DPH5","ENSUMAG00000007835",103669323,"protein_coding","Polar bear","KK498637.1",3.431785,"diphthamide biosynthesis 5 [Source:NCBI gene;Acc:103669323]",36.7,1,33917,840,840,NA,NA,8
"ENSUMAG00000012389"," SORBS2","ENSUMAG00000012389",103680973,"protein_coding","Polar bear","KK499267.1",3.482397,"sorbin and SH3 domain containing 2 [Source:NCBI gene;Acc:103680973]",38.33,10,88456,3222,3222,NA,NA,20
"ENSUMAG00000011716"," ","ENSUMAG00000011716",103671752,"protein_coding","Polar bear","KK498653.1",3.502179,"family with sequence similarity 178 member B [Source:NCBI gene;Acc:103671752]",53.3,1,77615,1359,1359,NA,NA,13
"ENSUMAG00000006932"," ARID5B","ENSUMAG00000006932",103667747,"protein_coding","Polar bear","KK498624.1",3.560808,"AT-rich interaction domain 5B [Source:NCBI gene;Acc:103667747]",42.71,1,171544,3573,3573,NA,NA,10
"ENSUMAG00000010954"," SORCS2","ENSUMAG00000010954",103677128,"protein_coding","Polar bear","KK498529.1",3.56326,"sortilin related VPS10 domain containing receptor 2 [Source:NCBI gene;Acc:103677128]",57.47,1,172874,3027,3027,NA,NA,25
"ENSUMAG00000007853"," EXTL2","ENSUMAG00000007853",103669325,"protein_coding","Polar bear","KK498637.1",3.570426,"exostosin like glycosyltransferase 2 [Source:NCBI gene;Acc:103669325]",39.46,2,20774,1018,3252,212,1596,6
"ENSUMAG00000017798"," STX8","ENSUMAG00000017798",103660394,"protein_coding","Polar bear","KK498569.1",3.588938,"syntaxin 8 [Source:NCBI gene;Acc:103660394]",45.96,3,254756,810,1282,313,159,7
"ENSUMAG00000002695"," FGD4","ENSUMAG00000002695",103656147,"protein_coding","Polar bear","KK499622.1",3.624966,"FYVE, RhoGEF and PH domain containing 4 [Source:NCBI gene;Acc:103656147]",39.08,4,196829,2372,2372,NA,NA,15
"ENSUMAG00000009452"," SPIDR","ENSUMAG00000009452",103677408,"protein_coding","Polar bear","KK498737.1",3.638733,"scaffold protein involved in DNA repair [Source:NCBI gene;Acc:103677408]",37.87,2,452243,2780,2780,NA,NA,20
"ENSUMAG00000025251"," POLQ","ENSUMAG00000025251",103678778,"protein_coding","Polar bear","KK498756.1",3.640374,"DNA polymerase theta [Source:NCBI gene;Acc:103678778]",36.83,1,120540,7836,7836,NA,NA,31
"ENSUMAG00000014968"," ZNF704","ENSUMAG00000014968",103661456,"protein_coding","Polar bear","KK498578.1",3.643932,"zinc finger protein 704 [Source:NCBI gene;Acc:103661456]",41.25,1,181879,1206,1206,NA,NA,8
"ENSUMAG00000018971"," CSTF3","ENSUMAG00000018971",103659340,"protein_coding","Polar bear","KK498561.1",3.657727,"cleavage stimulation factor subunit 3 [Source:NCBI gene;Acc:103659340]",35.43,4,53239,1961,2198,144,513,19
"ENSUMAG00000015509"," TSPAN18","ENSUMAG00000015509",103672341,"protein_coding","Polar bear","KK498659.1",3.658153,"tetraspanin 18 [Source:NCBI gene;Acc:103672341]",57.44,1,25823,747,1802,28,1000,8
"ENSUMAG00000001925"," CEP290","ENSUMAG00000001925",103660064,"protein_coding","Polar bear","KK498564.1",3.667381,"centrosomal protein 290 [Source:NCBI gene;Acc:103660064]",34.46,2,79644,4443,4443,NA,NA,32
"ENSUMAG00000011612"," PDE10A","ENSUMAG00000011612",103660816,"protein_coding","Polar bear","KK498572.1",3.669597,"phosphodiesterase 10A [Source:NCBI gene;Acc:103660816]",39.39,1,175274,2145,3054,54,747,21
"ENSUMAG00000014153"," SEMA3C","ENSUMAG00000014153",103658667,"protein_coding","Polar bear","KK498551.1",3.68157,"semaphorin 3C [Source:NCBI gene;Acc:103658667]",35.19,1,167719,2253,3215,144,674,18
"ENSUMAG00000014557"," DDX11","ENSUMAG00000014557",103675768,"protein_coding","Polar bear","KK498699.1",3.737461,"DEAD/H-box helicase 11 [Source:NCBI gene;Acc:103675768]",51.28,2,30291,2607,2607,NA,NA,24
"ENSUMAG00000012924"," PAK6","ENSUMAG00000012924",103673553,"protein_coding","Polar bear","KK498675.1",3.74827,"p21 (RAC1) activated kinase 6 [Source:NCBI gene;Acc:103673553]",58.27,2,12256,1850,2567,397,519,8
"ENSUMAG00000009761"," TGS1","ENSUMAG00000009761",103677436,"protein_coding","Polar bear","KK498738.1",3.79306,"trimethylguanosine synthase 1 [Source:NCBI gene;Acc:103677436]",36.49,1,25462,2376,2535,159,NA,11
"ENSUMAG00000019428"," QSER1","ENSUMAG00000019428",103659342,"protein_coding","Polar bear","KK498561.1",3.795105,"glutamine and serine rich 1 [Source:NCBI gene;Acc:103659342]",35.9,2,39161,5152,5709,NA,1113,10
"ENSUMAG00000012933"," ","ENSUMAG00000012933",103673467,"protein_coding","Polar bear","KK498675.1",3.798389,"BUB1 mitotic checkpoint serine/threonine kinase B [Source:NCBI gene;Acc:103673467]",38.13,1,25904,939,2283,134,NA,16
"ENSUMAG00000018773"," LAMA1","ENSUMAG00000018773",103664656,"protein_coding","Polar bear","KK498513.1",3.809779,"laminin subunit alpha 1 [Source:NCBI gene;Acc:103664656]",43.94,1,130361,9030,9030,NA,NA,60
"ENSUMAG00000007872"," CDC14A","ENSUMAG00000007872",103669330,"protein_coding","Polar bear","KK498637.1",3.814628,"cell division cycle 14A [Source:NCBI gene;Acc:103669330]",40.67,1,166898,1740,3739,94,1905,15
"ENSUMAG00000009778"," LYN","ENSUMAG00000009778",103677438,"protein_coding","Polar bear","KK498738.1",3.918488,"LYN proto-oncogene, Src family tyrosine kinase [Source:NCBI gene;Acc:103677438]",42.82,1,84228,1539,2234,152,391,13
"ENSUMAG00000007683"," MIS18BP1","ENSUMAG00000007683",103665646,"protein_coding","Polar bear","KK498515.1",3.959087,"MIS18 binding protein 1 [Source:NCBI gene;Acc:103665646]",35.41,1,38054,3261,3261,NA,NA,16
"ENSUMAG00000014146"," TESMIN","ENSUMAG00000014146",103679628,"protein_coding","Polar bear","KK498772.1",3.973533,"testis expressed metallothionein like protein [Source:NCBI gene;Acc:103679628]",47.5,2,39455,1106,1106,NA,NA,7
"ENSUMAG00000001890"," STK35","ENSUMAG00000001890",103674506,"protein_coding","Polar bear","KK498684.1",3.984351,"serine/threonine kinase 35 [Source:NCBI gene;Acc:103674506]",48.44,1,16947,966,966,NA,NA,3
